Milliseconds,Latitude,Longitude,Altitude,Speed,Speed3D,TS,GpsAccuracy,GpsFix
3959,-6.6521234,106.8543401,464.163,19.093,19.13,1573087258259000,182,3
4014,-6.6521316,106.8543448,464.199,19.164,19.12,1573087258314000,182,3
4070,-6.6521396,106.8543494,464.121,19.042,19.19,1573087258370000,182,3
4125,-6.6521478,106.8543537,463.986,19.154,19.07,1573087258425000,182,3
4180,-6.6521558,106.8543587,464.027,19.13,19.18,1573087258480000,182,3
4235,-6.6521639,106.8543638,464.083,19.172,19.15,1573087258535000,182,3
4290,-6.652172,106.8543689,464.147,19.198,19.2,1573087258590000,182,3
4345,-6.6521798,106.8543738,464.118,19.102,19.22,1573087258645000,182,3
4400,-6.6521877,106.8543786,464.022,19.103,19.13,1573087258700000,182,3
4455,-6.6521958,106.8543833,464.07,18.931,19.13,1573087258755000,182,3
4510,-6.6522039,106.854388,464.061,18.98,18.95,1573087258810000,182,3
4565,-6.6522121,106.8543926,464.046,18.934,19,1573087258865000,182,3
4620,-6.6522201,106.8543975,464.076,18.997,18.95,1573087258920000,182,3
4675,-6.6522282,106.8544026,464.115,19.07,19.02,1573087258975000,182,3
4730,-6.6522363,106.8544076,464.159,19.131,19.09,1573087259030000,182,3
4785,-6.6522444,106.8544127,464.233,19.173,19.15,1573087259085000,182,3
4840,-6.6522527,106.8544177,464.264,19.295,19.19,1573087259140000,182,3
4895,-6.6522609,106.8544229,464.324,19.285,19.32,1573087259195000,182,3
4950,-6.6522691,106.8544276,464.351,19.211,19.31,1573087259250000,182,3
5005,-6.6522775,106.8544325,464.361,19.217,19.23,1573087259305000,154,3
5060,-6.6522857,106.8544374,464.403,19.249,19.24,1573087259360000,154,3
5115,-6.652294,106.8544421,464.4,19.268,19.27,1573087259415000,154,3
5170,-6.6523023,106.854447,464.392,19.367,19.29,1573087259470000,154,3
5225,-6.6523105,106.8544519,464.394,19.374,19.39,1573087259525000,154,3
5280,-6.6523187,106.8544569,464.418,19.352,19.39,1573087259580000,154,3
5335,-6.6523271,106.8544615,464.359,19.359,19.37,1573087259635000,154,3
5390,-6.6523356,106.8544662,464.361,19.37,19.38,1573087259690000,154,3
5445,-6.6523441,106.854471,464.367,19.463,19.39,1573087259745000,154,3
5500,-6.6523525,106.8544758,464.379,19.506,19.48,1573087259800000,154,3
5555,-6.6523609,106.8544808,464.405,19.49,19.53,1573087259855000,154,3
5610,-6.6523692,106.8544857,464.446,19.432,19.51,1573087259910000,154,3
